100000	0.0014	0.0014
200000	0.0033	0.0027
300000	0.0052	0.0039
400000	0.0084	0.0044
500000	0.0104	0.0064
600000	0.0114	0.0055
700000	0.0137	0.0064
800000	0.0185	0.0078
900000	0.0212	0.0096
1000000	0.0243	0.0117
1100000	0.0275	0.0135
1200000	0.0304	0.0154
1300000	0.0344	0.0177
1400000	0.0367	0.0187
1500000	0.0413	0.0214
1600000	0.0431	0.0236
1700000	0.0468	0.0235
1800000	0.0503	0.0265
1900000	0.0538	0.0272
2000000	0.0558	0.027
2100000	0.0593	0.0305
2200000	0.0624	0.0321
2300000	0.0657	0.0337
2400000	0.0701	0.0351
2500000	0.0723	0.0359
2600000	0.0755	0.0414
2700000	0.0786	0.0404
2800000	0.0821	0.044
2900000	0.085	0.0456
3000000	0.0883	0.0469
3100000	0.0933	0.0481
3200000	0.0952	0.0517
3300000	0.0988	0.0521
3400000	0.1023	0.0543
3500000	0.1059	0.0575
3600000	0.1093	0.06
3700000	0.1111	0.0635
3800000	0.1149	0.0635
3900000	0.118	0.0663
4000000	0.1211	0.0687
4100000	0.1239	0.0703
4200000	0.1275	0.0707
4300000	0.1314	0.0733
4400000	0.1349	0.073
4500000	0.1377	0.0761
4600000	0.1407	0.0764
4700000	0.1442	0.0773
4800000	0.1475	0.0794
4900000	0.1514	0.0818
5000000	0.1539	0.0858
5100000	0.1575	0.0889
5200000	0.1613	0.0916
5300000	0.1641	0.0911
5400000	0.1678	0.0943
5500000	0.1719	0.0965
5600000	0.1756	0.0989
5700000	0.1785	0.1005
5800000	0.1801	0.1002
5900000	0.1857	0.1028
6000000	0.1873	0.1087
6100000	0.1916	0.0946
6200000	0.1942	0.1125
6300000	0.1975	0.1187
6400000	0.2014	0.1155
6500000	0.2051	0.0992
6600000	0.2042	0.1223
6700000	0.2445	0.1272
6800000	0.2484	0.1233
6900000	0.2135	0.133
7000000	0.2569	0.1351
7100000	0.2619	0.1143
7200000	0.2252	0.1378
7300000	0.2676	0.1341
7400000	0.2722	0.1378
7500000	0.2349	0.1434
7600000	0.282	0.1482
7700000	0.2842	0.1137
7800000	0.2437	0.1527
7900000	0.2914	0.1558
