100000	0.0014	0.0013
200000	0.0032	0.0027
300000	0.0052	0.0038
400000	0.0079	0.0044
500000	0.0102	0.0049
600000	0.0112	0.0056
700000	0.0141	0.0065
800000	0.018	0.0074
900000	0.0211	0.0088
1000000	0.0244	0.0103
1100000	0.0276	0.0133
1200000	0.0309	0.0156
1300000	0.0344	0.0179
1400000	0.0377	0.0196
1500000	0.0413	0.0213
1600000	0.0432	0.024
1700000	0.0467	0.0258
1800000	0.0495	0.0284
1900000	0.0537	0.0309
2000000	0.0559	0.0309
2100000	0.0592	0.0337
2200000	0.0628	0.0327
2300000	0.0657	0.0343
2400000	0.0685	0.0367
2500000	0.072	0.0399
2600000	0.0752	0.0392
2700000	0.0788	0.043
2800000	0.0826	0.0466
2900000	0.086	0.0466
3000000	0.0896	0.0487
3100000	0.0915	0.0508
3200000	0.095	0.0526
3300000	0.0983	0.0538
3400000	0.1014	0.0602
3500000	0.1046	0.0593
3600000	0.1076	0.0622
3700000	0.1112	0.0639
3800000	0.1151	0.0654
3900000	0.1186	0.0669
4000000	0.1211	0.0713
4100000	0.124	0.0701
4200000	0.1278	0.0704
4300000	0.1307	0.0739
4400000	0.1349	0.0786
4500000	0.1379	0.0762
4600000	0.1405	0.0779
4700000	0.1442	0.0784
4800000	0.148	0.0816
4900000	0.1511	0.0887
5000000	0.1549	0.0884
5100000	0.1576	0.0893
5200000	0.161	0.0946
5300000	0.164	0.0909
5400000	0.1671	0.0965
5500000	0.1714	0.0964
5600000	0.1733	0.1027
5700000	0.1774	0.099
5800000	0.18	0.1064
5900000	0.1842	0.1054
6000000	0.1874	0.108
6100000	0.1909	0.1099
6200000	0.1942	0.1141
6300000	0.1972	0.1153
6400000	0.1978	0.1208
6500000	0.2371	0.1116
6600000	0.2058	0.1194
6700000	0.208	0.131
6800000	0.2493	0.1344
6900000	0.2537	0.1275
7000000	0.2181	0.1236
7100000	0.2604	0.1338
7200000	0.2656	0.1381
7300000	0.2275	0.1425
7400000	0.273	0.1452
7500000	0.2777	0.1468
7600000	0.2369	0.1263
7700000	0.2863	0.1547
7800000	0.2889	0.1567
7900000	0.2485	0.1482
