1	0.500000	2.000000	0.000000	1.000000
2	0.750000	1.000000	0.500000	1.000000
3	0.625000	0.500000	0.500000	0.750000
4	0.687500	0.250000	0.625000	0.750000
5	0.718750	0.125000	0.687500	0.750000
6	0.703125	0.062500	0.687500	0.718750
7	0.695312	0.031250	0.687500	0.703125
8	0.691406	0.015625	0.687500	0.695312
9	0.693359	0.007812	0.691406	0.695312
10	0.692383	0.003906	0.691406	0.693359
11	0.692871	0.001953	0.692383	0.693359
12	0.693115	0.000977	0.692871	0.693359
13	0.693237	0.000488	0.693115	0.693359
14	0.693176	0.000244	0.693115	0.693237
15	0.693146	0.000122	0.693115	0.693176
16	0.693161	0.000061	0.693146	0.693176
17	0.693153	0.000031	0.693146	0.693161
18	0.693150	0.000015	0.693146	0.693153
19	0.693148	0.000008	0.693146	0.693150
20	0.693147	0.000004	0.693146	0.693148
