#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,MVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CPTY_A,62369.1,96108.4,-9143.81,44175.4,0,0,0,62369.1,96108.4,None,269411,269411
Swap_20y,CPTY_A,62369.1,96108.4,-9143.81,44175.4,n/a,n/a,n/a,0,0,None,269411,269411
