#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CPTY_A,2026-05-05,10.2441,691461,712556,3.90495e+06,0,722254,835598
CPTY_A,2026-08-05,10.4962,703909,728816,4.26618e+06,0,737924,835598
CPTY_A,2026-11-05,10.7482,699434,649592,3.82479e+06,0,735893,835598
CPTY_A,2027-02-05,11.0003,710287,659275,3.83885e+06,0,750024,835598
CPTY_A,2027-05-05,11.2441,640659,669125,3.50644e+06,0,678876,835598
CPTY_A,2027-08-05,11.4962,650653,681040,3.70691e+06,0,691967,835598
CPTY_A,2027-11-05,11.7482,651544,602171,3.59112e+06,0,695429,835598
CPTY_A,2028-02-07,12.0055,654431,611824,3.54702e+06,0,701101,835598
CPTY_A,2028-05-05,12.2459,579872,616655,3.42252e+06,0,623536,835598
CPTY_A,2028-08-07,12.5027,596088,624181,3.42882e+06,0,643525,835598
CPTY_A,2028-11-06,12.7514,587164,541405,3.45561e+06,0,636334,835598
CPTY_A,2029-02-05,13.0003,594331,550493,3.44317e+06,0,646583,835598
CPTY_A,2029-05-08,13.2523,528210,554775,3.16286e+06,0,576887,835598
CPTY_A,2029-08-06,13.4989,530251,561320,3.07498e+06,0,581324,835598
CPTY_A,2029-11-05,13.7482,524293,475912,3.1441e+06,0,577008,835598
CPTY_A,2030-02-05,14.0003,529954,482010,3.09167e+06,0,585511,835598
CPTY_A,2030-05-07,14.2496,451547,484342,2.92952e+06,0,500806,835598
CPTY_A,2030-08-05,14.4962,457637,488543,2.88453e+06,0,509495,835598
CPTY_A,2030-11-05,14.7482,451488,408818,2.75084e+06,0,504608,835598
CPTY_A,2031-02-05,15.0003,463021,416844,2.80423e+06,0,519514,835598
CPTY_A,2031-05-06,15.2468,381361,415791,2.47538e+06,0,429401,835598
CPTY_A,2031-08-05,15.4962,385676,420591,2.34142e+06,0,435803,835598
CPTY_A,2031-11-05,15.7482,376126,340658,2.41253e+06,0,426538,835598
CPTY_A,2032-02-05,16,380279,344833,2.28377e+06,0,432797,835598
CPTY_A,2032-05-05,16.2459,309132,340858,1.9064e+06,0,353061,835598
CPTY_A,2032-08-05,16.4973,308468,343555,1.91224e+06,0,353568,835598
CPTY_A,2032-11-05,16.7486,304070,261983,1.74903e+06,0,349778,835598
CPTY_A,2033-02-07,17.0057,311930,264520,1.9033e+06,0,360136,835598
CPTY_A,2033-05-05,17.2441,233904,257663,1.42522e+06,0,270970,835598
CPTY_A,2033-08-05,17.4962,232208,259966,1.48833e+06,0,269971,835598
CPTY_A,2033-11-07,17.7537,227531,179976,1.36353e+06,0,265504,835598
CPTY_A,2034-02-06,18.003,227305,182598,1.49574e+06,0,266183,835598
CPTY_A,2034-05-05,18.2441,153974,174535,1.05619e+06,0,180929,835598
CPTY_A,2034-08-07,18.5016,153960,175433,1.03644e+06,0,181576,835598
CPTY_A,2034-11-06,18.7509,150516,96246.3,883376,0,178146,835598
CPTY_A,2035-02-05,19.0003,150657,96787.5,883944,0,178945,835598
CPTY_A,2035-05-08,19.2523,75377.9,86944.3,467893,0,89853,835598
CPTY_A,2035-08-06,19.4989,75460,87911.1,457916,0,90266.9,835598
CPTY_A,2035-11-05,19.7482,77751.5,16353.4,405781,0,93338.6,835598
CPTY_A,2036-02-05,20,77846.9,16332.3,392906,0,93788.8,835598
CPTY_A,2036-05-06,20.2486,0,0,0,0,0,835598
